plate,hm_n,hm_in,hm_rmse_um,hm_pitch_um,hm_norm,hm_rot,tilt_pp_um,tilt_frac,rgb_n,rgb_in,rgb_rmse_px,rgb_pitch_px,rgb_norm,rgb_rot,cross_rmse_um,cross_max_um,cross_slots,um_per_px_x,um_per_px_y,px_aspect,rel_rot,old_hm_norm,old_hm_rmse,old_hm_in,old_rgb_norm,old_rgb_rmse,old_rgb_in
10-01-2025_P1,64,64,6.907704653872177,266.35497080971425,0.02593420589401009,2.3648690872321763,19.780272781199766,0.6714241575952427,67,62,3.0750168149988073,215.94359533674486,0.014239907463815222,-0.17784600221070457,7.646927853628186,15.36898947236425,62,1.0734845048350048,1.460981802597775,1.3609714867960099,2.6199127996746037,0.03262218536847246,1.5687128882657833,61,0.017629556250724397,3.8092401308069004,56
10-01-2025_P4,64,64,6.233076642200664,266.56257325066633,0.023383165033972312,2.3022843142031717,9.69033064265347,0.4282123656702035,67,63,3.860033536647809,215.88495805100763,0.01788004857538889,-0.3754571212403223,8.923476036925036,17.270794715009867,63,1.1241862249053227,1.3989110656633332,1.244376629664847,2.3162234323082496,0.028620282801874498,1.4048160386427728,63,0.022084158887065428,4.774893650648169,64
10-01-2025_P5,64,64,8.076411884685955,266.9991674515528,0.030248827971163714,1.444535285593214,23.76484886655467,0.7694049038619669,69,64,3.768866194979016,216.46761765539324,0.017410762107517082,-0.037819942446038986,9.786696204863167,21.82364538799038,64,1.0852416516853551,1.4408945008709404,1.3277176549879601,1.1407358904060085,0.03324919553631814,1.629051528805533,62,0.017987888574023492,3.8946659304034097,61
10-01-2025_P6,65,64,7.00302455309192,266.1753337984934,0.026309817867622255,0.8958965647075747,27.245859104046716,0.7258489511650875,76,62,2.5286780358566263,215.505602574293,0.011733699753744893,-0.13218478012167895,7.087556151343575,12.880316382501892,62,1.0839122093039915,1.4418489691659593,1.3302267072826945,1.1190984316874888,0.03086342699300249,1.516414098704577,64,0.012576231403785281,2.7162680258352614,61
10-01-2025_P7,64,64,7.9294601287708835,269.1540974474327,0.029460670314779624,1.8993503485780345,21.118414827898604,0.7516224444171574,67,64,4.259545489818896,215.83735330546028,0.019734978327827453,-0.24298156943924337,10.99639497511331,21.94391359777479,64,1.0815934834629686,1.4604008043828198,1.3502307722001181,2.0790619791605125,0.03604798195079838,1.76316199890282,64,0.023252894487071973,5.023246740157205,64
10-06-2025_P2,64,64,8.248357104193438,268.5068435923447,0.03071935520837728,0.6557499816167395,35.24153793321099,0.8986303287778256,67,63,3.8431058363088546,215.70973249519216,0.017816098475735266,-0.46621982689186586,8.727612729202471,20.547101996930596,63,1.10571475963265,1.4217603188204053,1.2858291945860927,1.2837924237589964,0.03653042288146886,1.85524751970593,64,0.020818863302210912,4.502047856613479,62
10-06-2025_P4,65,63,6.457073130692866,266.9149213563683,0.024191503037298466,0.6318584474211411,21.46081689111408,0.7614333247150576,68,64,2.7285837356883347,215.7986215593341,0.012644120319082332,-0.07688776784612077,7.111356786622553,15.628502068529759,63,1.0553145855291752,1.4951419520706064,1.4167737019581559,0.5256168688409335,0.027694619897966826,1.3868645720027077,63,0.01547734324101145,3.347041312394424,64
10-06-2025_P6,61,59,5.966582622991519,267.4134554121807,0.022312200460499865,1.0270061835882711,23.64520386076993,0.7402337079593112,69,62,3.386673979525094,215.85309411131004,0.01568971708961777,-0.658024839590142,7.326646494152508,14.643403483500464,59,1.0840096587894263,1.4445742600944527,1.33262120718342,2.190031021167103,,,,0.0173172904736043,3.744618393732864,60
10-13-2025_P10,63,62,9.151864106539561,267.83093353500783,0.034170302831518645,1.7382472056471805,7.00835737437428,0.37171995252030793,74,62,2.5463217790747485,216.24061467746168,0.011775409457066007,-0.03890036210594853,9.745197848647743,21.088416848106544,60,1.0880663431656141,1.4394742641886227,1.3229655280032138,1.9216274890745322,0.040528954733129896,1.8947016058634703,62,0.012497244789188983,2.705751974959984,64
10-13-2025_P3,62,62,6.55298314888556,266.85318535434374,0.02455651087763526,1.9263918707408014,22.062090056271526,0.7419413032330014,70,64,3.8274598977984158,217.0250535299004,0.017636027894222323,-0.26919110128957036,6.434259215854607,12.553618843200876,62,1.1217995530309108,1.3823327020552743,1.232245723686061,2.159646367695462,0.031862971711275584,1.4759839836379374,62,0.021367956249001212,4.649365859034599,56
10-13-2025_P4,62,56,5.1256767393163445,264.80785635694104,0.01935621098947804,0.5338778678208048,17.762567248538243,0.6607059724645715,75,63,2.5212030193484543,215.73649494809553,0.011686492913287739,-0.19890327336138222,7.657335014526188,20.741562474781823,55,1.1461011713258902,1.3631831484889199,1.1894090876042767,0.8951927390567304,,,,0.015226225717074427,3.2934943727901134,55
10-13-2025_P5,64,48,4.761718199964502,268.16095450430544,0.017756940822225672,0.8558637443078618,20.467211260651812,0.6780768238610952,75,61,2.129591454113602,215.77456062334812,0.0098695205216104,-0.9065273780004609,5.580687985444825,9.838874304083356,46,1.1324989589011445,1.3813171218446252,1.2197071891217517,1.840489441537139,0.024890746149023344,1.1931978611946534,61,0.011996241781877736,2.5915841861205333,64
10-13-2025_P6,64,60,8.163384565917662,270.43695412718466,0.030185906331715587,1.0157873000364237,8.186783750622265,0.5617456741251484,82,61,2.415230311748935,216.39909885270097,0.011160999858843864,0.09717110304906937,9.407505882049666,29.9147937368645,57,1.0786948138082721,1.4618739565780174,1.3552247937643758,1.141699322780819,0.03137185161677087,1.4600937738868718,62,0.016221180672506635,3.5166109728508625,64
10-15-2025_P12,64,62,8.775506500643317,266.8982520611527,0.03287959524977572,1.8205094717350572,21.536585476299578,0.7996756396593683,75,60,2.185925225135747,216.0605686340837,0.010117187226503096,-1.120861261227219,8.154852100826277,17.246893285773318,59,1.0756789500201371,1.4521303358675695,1.3499663034592106,3.428331288834975,0.03606345850084242,1.6877414839342766,62,0.02021987558519067,4.3781014467400325,58
10-15-2025_P13,64,64,6.3414436302511605,269.9717612532875,0.02348928495636852,0.8008235304952878,25.11439229077042,0.7345829237850025,66,63,2.6087106901466885,215.89901424591807,0.012083013436899055,-0.8501339531924913,8.784058157583907,13.22834015138482,63,1.1325464448381544,1.381361679724427,1.2196953917610234,1.6792280625864835,0.02936386140862407,1.4904481027110599,64,0.015875304926965046,3.436204919922655,56
10-15-2025_P14,64,64,6.111708059150911,267.8999928782804,0.022813393884365457,2.2738664938134048,18.625731089855567,0.7803336928400075,77,61,2.0696399933038556,215.80717769328822,0.009590227792354949,-0.46243322212966487,5.6877247428847735,12.680516021789616,61,1.1436659307479853,1.369581865324028,1.1975366481611358,2.7462255137819644,0.02656777739770216,1.2591132561258147,61,0.012877909020338994,2.784956483040413,57
