experiment,config,label,K,median_r2,mean_r2,positive,n,spearman
feature_region,window 267 um,h_max,8,-0.14773961212692088,-0.22310742413590823,2,69,0.05216234967622572
feature_region,window 200 um,h_max,8,-0.15371551968230662,-0.2280667467807886,5,69,0.026474329324699352
feature_region,window 150 um,h_max,8,-0.1595172564212664,-0.22816350450291006,6,69,0.03753469010175763
feature_region,window 110 um,h_max,8,-0.1600590833716961,-0.23428737901163982,4,69,-0.011175994449583719
feature_region,window 80 um,h_max,8,-0.17306102450361532,-0.23580393907663402,0,69,-0.12908386187455953
feature_region,window 60 um,h_max,8,-0.1839866105228633,-0.2333697079484225,1,69,-0.11506706753006476
feature_region,pad mask (data-driven),h_max,8,-0.18843678718209228,-0.22505511616525675,3,69,-0.030130662020905925
feature_region,ring around pad (control),h_max,8,-0.1917480652541225,-0.2189554458702551,4,69,0.07132270168855535
feature_region,sharpness / focus,h_max,8,-0.16599973980755922,-0.2271255198163318,2,69,-0.08970282146160963
feature_region,brightness + sharpness,h_max,8,-0.16752884646090327,-0.48172264960883043,6,69,-0.05607142857142859
label,h_max (previous choice),h_max,8,-0.14773961212692088,-0.22310742413590823,2,69,0.05216234967622572
label,h_p95,h_p95,8,-0.14427844616643043,-0.22030564471503403,2,69,0.056786322016044076
label,h_p99,h_p99,8,-0.14784022626616156,-0.2230099211489234,2,69,0.04792437557816836
label,h_maskmean,h_maskmean,8,-0.15437602937024333,-0.21134233190323004,3,69,0.028052728954671608
reference,whole cell + raw z label (previous),h_max_raw,8,0.24756341437002236,-0.03358831717908521,51,69,0.8375703564727957
reference,whole cell + corrected label,h_max,8,-0.14773961212692088,-0.22310742413590823,2,69,0.05216234967622572
k_sweep,window 267 um,h_p95,0,-1.5892920522365497,-4.162113827494415,4,69,0.04826839826839828
k_sweep,window 267 um,h_p95,2,-0.5756138648389572,-0.9037152498525194,0,69,0.05933317206902111
k_sweep,window 267 um,h_p95,4,-0.2890777947999195,-0.3891780178353447,1,69,0.05612755102040815
k_sweep,window 267 um,h_p95,8,-0.17359234297014722,-0.2508732115015892,2,69,0.03705481036077706
k_sweep,window 267 um,h_p95,16,-0.11614670938412375,-0.1513316693087381,5,69,0.08206264323911383
